#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-161.229839212,252.858830734,0.0336641936488
2000,-186.815155204,259.070568089,0.0336641936488
3000,-174.503480776,273.908757772,0.0336641936488
4000,-180.477364241,305.5999172,0.0336641936488
5000,-141.89075474,269.231042361,0.0336641936488
6000,-178.93519109,305.691983097,0.0336641936488
7000,-192.844547656,313.370000515,0.0336641936488
8000,-147.442951187,237.488967101,0.0336641936488
9000,-153.159658377,235.46172722,0.0336641936488
10000,-177.977452367,374.656597257,0.0336641936488
11000,-172.193030098,273.119602957,0.0336641936488
12000,-193.26689284,264.546546091,0.0336641936488
13000,-185.235925709,430.141261915,0.0336641936488
14000,-152.460438774,291.031533112,0.0336641936488
15000,-179.389725252,325.687927502,0.0336641936488
16000,-167.251127589,242.602320877,0.0336641936488
17000,-173.542788502,222.483664126,0.0336641936488
18000,-172.321198134,267.432594641,0.0336641936488
19000,-156.045784157,387.919080878,0.0336641936488
20000,-165.468411504,293.904515903,0.0336641936488
21000,-170.599924503,304.447670053,0.0336641936488
22000,-177.435695383,253.751577115,0.0336641936488
23000,-206.697774852,392.943612646,0.0336641936488
24000,-149.41996225,334.512432984,0.0336641936488
25000,-181.192686042,215.139303682,0.0336641936488
26000,-186.561846291,226.850707229,0.0336641936488
27000,-188.699481485,271.127358012,0.0336641936488
28000,-158.013637695,350.18471057,0.0336641936488
29000,-145.092444002,212.476484868,0.0336641936488
30000,-173.79634777,269.125800282,0.0336641936488
31000,-193.068154826,298.825017503,0.0336641936488
32000,-204.984674363,319.472867666,0.0336641936488
33000,-186.322446993,307.680612613,0.0336641936488
34000,-156.737836349,233.446869761,0.0336641936488
35000,-193.355238867,304.064209505,0.0336641936488
36000,-179.935754607,505.342262467,0.0336641936488
37000,-185.862959416,225.7643935,0.0336641936488
38000,-215.822120198,315.181839072,0.0336641936488
39000,-200.475638007,311.088478955,0.0336641936488
40000,-175.425334528,345.161621165,0.0336641936488
41000,-184.379792041,314.679778053,0.0336641936488
42000,-183.286203018,255.342127309,0.0336641936488
43000,-166.710874602,326.048638934,0.0336641936488
44000,-168.657918556,233.704558284,0.0336641936488
45000,-171.883476441,299.29355711,0.0336641936488
46000,-187.150362394,316.79548287,0.0336641936488
47000,-184.603015565,220.948109973,0.0336641936488
48000,-206.495359754,419.313730169,0.0336641936488
49000,-170.985343754,391.933590202,0.0336641936488
50000,-156.362754195,261.537846372,0.0336641936488
51000,-139.505495171,289.92246866,0.0336641936488
52000,-137.926665762,274.608324809,0.0336641936488
53000,-170.152618643,260.164815219,0.0336641936488
54000,-161.95386372,295.886116082,0.0336641936488
55000,-169.728355317,321.723604571,0.0336641936488
56000,-204.017051566,334.248678387,0.0336641936488
57000,-187.76046351,250.37890103,0.0336641936488
58000,-150.194287753,259.220936639,0.0336641936488
59000,-189.68556499,291.505598556,0.0336641936488
60000,-183.383873379,450.04222559,0.0336641936488
61000,-156.49020511,300.366099407,0.0336641936488
62000,-151.127685205,385.599725659,0.0336641936488
63000,-193.005770982,370.004086441,0.0336641936488
64000,-164.262295219,359.495384717,0.0336641936488
65000,-185.190632888,289.644949364,0.0336641936488
66000,-166.37049839,310.599437535,0.0336641936488
67000,-174.016242446,288.637982632,0.0336641936488
68000,-161.136511652,366.486657561,0.0336641936488
69000,-171.507120823,308.960784433,0.0336641936488
70000,-166.216035381,303.548419155,0.0336641936488
71000,-190.377912334,264.592255206,0.0336641936488
72000,-164.97971116,267.68355971,0.0336641936488
73000,-190.454459159,316.222308648,0.0336641936488
74000,-165.191901595,239.157236696,0.0336641936488
75000,-143.966945411,281.046386924,0.0336641936488
