;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 3.39930858];[ 0.0835019];[ 3.35767216];[ 0.5987126];[ 21.24833813];[ 0.06626083];[ 19.85854294];[ 0.08091649];[1798];[ 0.00496677];[ 0.00524892];[ 0.03547907];[ 0.0149932];[ 0.08694419];[ 0.0961561];[ 0.08554394];[ 0.09275541];['molecules/AlkEthOH_c581.mol2'];[[200]];Bond;['k'];70.5882352941;[#6X4:1]-[#6X4:2]
1;[ 3.38738154];[ 0.01784901];[ 3.36675761];[ 1.73250902];[ 21.37612893];[ 0.08132689];[ 20.11650263];[ 0.06375479];[1798];[ 0.00601434];[ 0.00526191];[ 0.03226842];[ 0.01556432];[ 0.09552362];[ 0.09719235];[ 0.09529504];[ 0.09413624];['molecules/AlkEthOH_c581.mol2'];[[250]];Bond;['k'];63.2352941176;[#6X4:1]-[#6X4:2]
2;[ 3.39945833];[ 0.05512164];[ 3.36806829];[ 0.77044582];[ 21.25690628];[ 0.06559804];[ 20.15215679];[ 0.05776982];[1798];[ 0.00481173];[ 0.00527237];[ 0.03164769];[ 0.01323728];[ 0.09015538];[ 0.09662569];[ 0.09027629];[ 0.09330617];['molecules/AlkEthOH_c581.mol2'];[[300]];Bond;['k'];55.8823529412;[#6X4:1]-[#6X4:2]
3;[ 3.40570596];[ 0.02079101];[ 3.36957151];[ 0.36573326];[ 21.38144753];[ 0.01241586];[ 20.39609298];[ 0.00043403];[1798];[ 0.00536983];[ 0.00529157];[ 0.03213187];[ 0.01773716];[ 0.09686084];[ 0.09392997];[ 0.09546699];[ 0.09094524];['molecules/AlkEthOH_c581.mol2'];[[350]];Bond;['k'];48.5294117647;[#6X4:1]-[#6X4:2]
4;[ 3.39765741];[ 0.01234117];[ 3.35736701];[ 2.35174304];[ 21.22813975];[ 0.09816677];[ 20.4014145];[ 0.09731594];[1798];[ 0.00540298];[ 0.00522735];[ 0.03408196];[ 0.01384495];[ 0.09257487];[ 0.09335144];[ 0.08979518];[ 0.09081147];['molecules/AlkEthOH_c581.mol2'];[[400]];Bond;['k'];41.1764705882;[#6X4:1]-[#6X4:2]
5;[ 3.40109468];[ 0.03505906];[ 3.36200278];[ 0.74453385];[ 21.27702333];[ 0.04762186];[ 20.58783368];[ 0.05015012];[1798];[ 0.00529828];[ 0.00536714];[ 0.02584897];[ 0.03671459];[ 0.08942605];[ 0.09478756];[ 0.08671363];[ 0.09240329];['molecules/AlkEthOH_c581.mol2'];[[450]];Bond;['k'];33.8235294118;[#6X4:1]-[#6X4:2]
6;[ 3.39621903];[ 0.17772789];[ 3.3525968];[ 0.81085732];[ 21.25463546];[ 0.05209358];[ 20.73696198];[ 0.0485435];[1798];[ 0.00526646];[ 0.00523439];[ 0.0242338];[ 0.03340148];[ 0.09442783];[ 0.09536372];[ 0.09337443];[ 0.09352554];['molecules/AlkEthOH_c581.mol2'];[[500]];Bond;['k'];26.4705882353;[#6X4:1]-[#6X4:2]
7;[ 3.40088693];[ 0.03657221];[ 3.34903766];[ 2.06161181];[ 21.25593307];[ 0.07627246];[ 20.87412636];[ 0.07820008];[1798];[ 0.00527109];[ 0.0053015];[ 0.02223738];[ 0.0141823];[ 0.09005598];[ 0.09508108];[ 0.08896669];[ 0.09376979];['molecules/AlkEthOH_c581.mol2'];[[550]];Bond;['k'];19.1176470588;[#6X4:1]-[#6X4:2]
8;[ 3.39386656];[ 0.16048892];[ 3.35520719];[ 3.00078748];[ 21.35876916];[ 0.02840244];[ 21.12637235];[ 0.02594267];[1798];[ 0.00482166];[ 0.0051962];[ 0.0249251];[ 0.01119225];[ 0.09939456];[ 0.094231];[ 0.0980916];[ 0.09337926];['molecules/AlkEthOH_c581.mol2'];[[600]];Bond;['k'];11.7647058824;[#6X4:1]-[#6X4:2]
9;[ 3.39470973];[ 0.17485143];[ 3.40074871];[ 1.14147401];[ 21.35293872];[ 0.04817408];[ 21.2643514];[ 0.0462919];[1798];[ 0.00519985];[ 0.00531585];[ 0.02706051];[ 0.02497333];[ 0.09888471];[ 0.09458933];[ 0.09862753];[ 0.09422288];['molecules/AlkEthOH_c581.mol2'];[[650]];Bond;['k'];4.41176470588;[#6X4:1]-[#6X4:2]
10;[ 3.39686273];[ 0.08866178];[ 3.39121656];[ 1.46432784];[ 21.28399174];[ 0.04065464];[ 21.34411829];[ 0.04023179];[1798];[ 0.00554305];[ 0.00523623];[ 0.02427004];[ 0.02205851];[ 0.10219962];[ 0.09245926];[ 0.10225432];[ 0.09270792];['molecules/AlkEthOH_c581.mol2'];[[700]];Bond;['k'];-2.94117647059;[#6X4:1]-[#6X4:2]
11;[ 3.39981513];[ 0.04960023];[ 3.36267455];[ 3.03024922];[ 21.42866668];[ 0.03041129];[ 21.63807508];[ 0.02922011];[1798];[ 0.00491626];[ 0.00526636];[ 0.02894935];[ 0.01200511];[ 0.08932741];[ 0.09621421];[ 0.09048834];[ 0.0972138];['molecules/AlkEthOH_c581.mol2'];[[750]];Bond;['k'];-10.2941176471;[#6X4:1]-[#6X4:2]
12;[ 3.40589624];[ 0.04421777];[ 3.36325999];[ 0.93796558];[ 21.3214775];[ 0.08385965];[ 21.67425408];[ 0.09347415];[1798];[ 0.00547412];[ 0.00523053];[ 0.02671629];[ 0.02683215];[ 0.08018919];[ 0.09651354];[ 0.08080496];[ 0.09793983];['molecules/AlkEthOH_c581.mol2'];[[800]];Bond;['k'];-17.6470588235;[#6X4:1]-[#6X4:2]
13;[ 3.39018215];[ 0.0971284];[ 3.37017509];[ 0.9314139];[ 21.11209479];[ 0.06790927];[ 21.61300223];[ 0.06254874];[1798];[ 0.00482057];[ 0.005204];[ 0.03288973];[ 0.03658133];[ 0.09317218];[ 0.09307737];[ 0.09583655];[ 0.09528905];['molecules/AlkEthOH_c581.mol2'];[[850]];Bond;['k'];-25.0;[#6X4:1]-[#6X4:2]
14;[ 3.3976024];[ 0.02854017];[ 3.34824971];[ 1.463847];[ 21.25222113];[ 0.15211879];[ 21.89899405];[ 0.16206641];[1798];[ 0.00590291];[ 0.00514844];[ 0.02987405];[ 0.02427374];[ 0.09587558];[ 0.09530949];[ 0.09811843];[ 0.09849848];['molecules/AlkEthOH_c581.mol2'];[[900]];Bond;['k'];-32.3529411765;[#6X4:1]-[#6X4:2]
15;[ 3.39357252];[ 0.06334424];[ 3.34796292];[ 0.89128714];[ 21.34829317];[ 0.13907558];[ 22.14244267];[ 0.14978616];[1798];[ 0.00498305];[ 0.00531434];[ 0.03004478];[ 0.01918933];[ 0.09035804];[ 0.09671484];[ 0.09380577];[ 0.10052438];['molecules/AlkEthOH_c581.mol2'];[[950]];Bond;['k'];-39.7058823529;[#6X4:1]-[#6X4:2]
16;[ 3.39570661];[ 0.07464737];[ 3.3359635];[ 1.31985498];[ 21.42628464];[ 0.01769564];[ 22.37353155];[ 0.02157105];[1798];[ 0.00534937];[ 0.00520535];[ 0.03207361];[ 0.03216359];[ 0.09189271];[ 0.09704888];[ 0.09949568];[ 0.1011529];['molecules/AlkEthOH_c581.mol2'];[[1000]];Bond;['k'];-47.0588235294;[#6X4:1]-[#6X4:2]
17;[ 3.39587978];[ 0.14910732];[ 3.34606789];[ 1.22476054];[ 21.09889584];[ 0.00241592];[ 22.19430085];[ 0.02109331];[1798];[ 0.00535662];[ 0.00521161];[ 0.03481233];[ 0.03186369];[ 0.09596462];[ 0.09734833];[ 0.09927709];[ 0.10289592];['molecules/AlkEthOH_c581.mol2'];[[1050]];Bond;['k'];-54.4117647059;[#6X4:1]-[#6X4:2]
18;[ 3.40413101];[ 0.04688269];[ 3.38883964];[ 1.95303488];[ 21.33021724];[ 0.02662021];[ 22.56262715];[ 0.00138342];[1798];[ 0.00552099];[ 0.00528875];[ 0.03308994];[ 0.02575229];[ 0.08579673];[ 0.09421793];[ 0.09111622];[ 0.10048235];['molecules/AlkEthOH_c581.mol2'];[[1100]];Bond;['k'];-61.7647058824;[#6X4:1]-[#6X4:2]
19;[ 3.39688473];[ 0.06745057];[ 3.37090838];[ 1.07449321];[ 21.11469843];[ 0.04817648];[ 22.4737169];[ 0.03859519];[1798];[ 0.00548216];[ 0.00523728];[ 0.03929968];[ 0.03884543];[ 0.09111165];[ 0.09459057];[ 0.09737681];[ 0.10244718];['molecules/AlkEthOH_c581.mol2'];[[1150]];Bond;['k'];-69.1176470588;[#6X4:1]-[#6X4:2]
