;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 1.53078979];[ 0.1259307];[ 1.54198044];[ 0.45634986];[ 12.86859362];[ 0.08778466];[ 12.35212212];[ 0.08610603];[2000];[ 0.00069166];[ 0.00072899];[ 0.01007842];[ 0.01062128];[ 0.07007667];[ 0.06771127];[ 0.06858639];[ 0.06559754];['molecules/AlkEthOH_c1266.mol2'];[[200]];Bond;['k'];70.5882352941;[#6X4:1]-[#6X4:2]
1;[ 1.53217155];[ 0.05576269];[ 1.53547323];[ 0.10673335];[ 12.84984027];[ 0.13779351];[ 12.39140014];[ 0.13421619];[2000];[ 0.00076896];[ 0.00073205];[ 0.00947046];[ 0.01395328];[ 0.06459815];[ 0.06647165];[ 0.06162967];[ 0.06515065];['molecules/AlkEthOH_c1266.mol2'];[[250]];Bond;['k'];63.2352941176;[#6X4:1]-[#6X4:2]
2;[ 1.53254327];[ 0.12077911];[ 1.55041386];[ 0.05024098];[ 12.86976835];[ 0.24739609];[ 12.4618001];[ 0.23144134];[2000];[ 0.00069182];[ 0.00073532];[ 0.00854969];[ 0.00681642];[ 0.0626479];[ 0.06899725];[ 0.06214387];[ 0.06717203];['molecules/AlkEthOH_c1266.mol2'];[[300]];Bond;['k'];55.8823529412;[#6X4:1]-[#6X4:2]
3;[ 1.53211588];[ 0.01357481];[ 1.52756599];[ 0.39554143];[ 12.88664428];[ 0.06108778];[ 12.53226512];[ 0.03718648];[2000];[ 0.00073628];[ 0.00073537];[ 0.00846];[ 0.00436925];[ 0.07265928];[ 0.0688231];[ 0.07106664];[ 0.06748307];['molecules/AlkEthOH_c1266.mol2'];[[350]];Bond;['k'];48.5294117647;[#6X4:1]-[#6X4:2]
4;[ 1.53153962];[ 0.11146009];[ 1.52781214];[ 0.14429494];[ 12.75298456];[ 0.02176285];[ 12.45864604];[ 0.0232106];[2000];[ 0.0007755];[ 0.00071932];[ 0.00634916];[ 0.00785986];[ 0.06952599];[ 0.06618167];[ 0.06830927];[ 0.06492759];['molecules/AlkEthOH_c1266.mol2'];[[400]];Bond;['k'];41.1764705882;[#6X4:1]-[#6X4:2]
5;[ 1.53154294];[ 0.00956132];[ 1.52375816];[ 0.22312545];[ 12.90902394];[ 0.12659294];[ 12.66438434];[ 0.12881919];[2000];[ 0.00081093];[ 0.00072272];[ 0.00653884];[ 0.00523762];[ 0.07177323];[ 0.06859169];[ 0.07034199];[ 0.06763153];['molecules/AlkEthOH_c1266.mol2'];[[450]];Bond;['k'];33.8235294118;[#6X4:1]-[#6X4:2]
6;[ 1.53067757];[ 0.19963733];[ 1.54014672];[ 0.10175549];[ 12.83280489];[ 0.0122704];[ 12.64535652];[ 0.0202819];[2000];[ 0.00068345];[ 0.00069859];[ 0.00554271];[ 0.00546255];[ 0.07546825];[ 0.06789396];[ 0.07379671];[ 0.06699471];['molecules/AlkEthOH_c1266.mol2'];[[500]];Bond;['k'];26.4705882353;[#6X4:1]-[#6X4:2]
7;[ 1.53086602];[ 0.01546325];[ 1.52365034];[ 0.27620357];[ 12.92746086];[ 0.04901509];[ 12.78729776];[ 0.0500123];[2000];[ 0.00067055];[ 0.00073236];[ 0.00477768];[ 0.00522293];[ 0.07382944];[ 0.0690446];[ 0.07352142];[ 0.06827171];['molecules/AlkEthOH_c1266.mol2'];[[550]];Bond;['k'];19.1176470588;[#6X4:1]-[#6X4:2]
8;[ 1.5314242];[ 0.05482493];[ 1.52478839];[ 0.41142773];[ 12.76021903];[ 0.04214243];[ 12.67302844];[ 0.03962278];[2000];[ 0.00074321];[ 0.00073973];[ 0.00435686];[ 0.00436466];[ 0.07013873];[ 0.06649314];[ 0.06986119];[ 0.06605968];['molecules/AlkEthOH_c1266.mol2'];[[600]];Bond;['k'];11.7647058824;[#6X4:1]-[#6X4:2]
9;[ 1.53189466];[ 0.01313438];[ 1.53352235];[ 0.36685745];[ 12.86395545];[ 0.07662237];[ 12.83202659];[ 0.07750189];[2000];[ 0.0006156];[ 0.00072971];[ 0.00402913];[ 0.00432799];[ 0.06843664];[ 0.06990651];[ 0.06829548];[ 0.06970939];['molecules/AlkEthOH_c1266.mol2'];[[650]];Bond;['k'];4.41176470588;[#6X4:1]-[#6X4:2]
