;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 3.02966337];[ 0.01023959];[ 3.37466382];[ 5.18388744];[ 20.55935899];[ 0.0193819];[ 16.5488801];[ 0.02088891];[159];[ 0.02714836];[ 0.02870652];[ 0.19274713];[ 0.0552523];[ 0.35131454];[ 0.32279536];[ 0.30030578];[ 0.27755254];['molecules/AlkEthOH_c581.mol2'];[[200]];Bond;['k'];67.7419354839;[#6X4:1]-[#1:2]
1;[ 2.99422694];[ 0.01991154];[ 3.07163075];[ 15.20787045];[ 20.43373912];[ 0.05387731];[ 17.2157157];[ 0.07516281];[159];[ 0.02846804];[ 0.0287298];[ 0.1870114];[ 0.01576285];[ 0.3320891];[ 0.32397328];[ 0.28869839];[ 0.29568988];['molecules/AlkEthOH_c581.mol2'];[[250]];Bond;['k'];59.6774193548;[#6X4:1]-[#1:2]
2;[ 3.00530746];[ 0.39211386];[ 3.36162028];[ 2.91912179];[ 20.31303268];[ 0.19235759];[ 17.34294332];[ 0.20577154];[159];[ 0.02786208];[ 0.02976506];[ 0.17924346];[ 0.06323752];[ 0.29941039];[ 0.32130126];[ 0.27600125];[ 0.28064213];['molecules/AlkEthOH_c581.mol2'];[[300]];Bond;['k'];51.6129032258;[#6X4:1]-[#1:2]
3;[ 3.05387475];[ 0.03727997];[ 3.36182446];[ 4.81601416];[ 20.60087271];[ 0.18531428];[ 18.18624761];[ 0.19775896];[159];[ 0.02810737];[ 0.02824004];[ 0.17708939];[ 0.0586672];[ 0.26611396];[ 0.3101178];[ 0.24869495];[ 0.27808364];['molecules/AlkEthOH_c581.mol2'];[[350]];Bond;['k'];43.5483870968;[#6X4:1]-[#1:2]
4;[ 3.03650982];[ 0.05052616];[ 3.35228274];[ 3.68850707];[ 19.86242688];[ 0.0752286];[ 17.94300407];[ 0.05970308];[159];[ 0.02815626];[ 0.02955389];[ 0.18114441];[ 0.06868488];[ 0.3137292];[ 0.30055472];[ 0.29361395];[ 0.27548529];['molecules/AlkEthOH_c581.mol2'];[[400]];Bond;['k'];35.4838709677;[#6X4:1]-[#1:2]
5;[ 3.03043931];[ 0.17976913];[ 3.01674379];[ 4.06422269];[ 19.56076233];[ 0.04052705];[ 18.09130487];[ 0.06140599];[159];[ 0.0301142];[ 0.02778278];[ 0.1569805];[ 0.03778039];[ 0.30908284];[ 0.29277965];[ 0.28599395];[ 0.26618206];['molecules/AlkEthOH_c581.mol2'];[[450]];Bond;['k'];27.4193548387;[#6X4:1]-[#1:2]
6;[ 3.04582108];[ 0.17107633];[ 3.26040144];[ 2.41947617];[ 20.72737342];[ 0.01367635];[ 19.60659153];[ 0.00064551];[159];[ 0.02759952];[ 0.02979831];[ 0.14884323];[ 0.09042797];[ 0.34354096];[ 0.32772479];[ 0.32453537];[ 0.30973583];['molecules/AlkEthOH_c581.mol2'];[[500]];Bond;['k'];19.3548387097;[#6X4:1]-[#1:2]
7;[ 2.99968352];[ 0.02790723];[ 3.35343564];[ 5.06323806];[ 20.41311524];[ 0.14585063];[ 19.77742299];[ 0.14858273];[159];[ 0.03219432];[ 0.02855132];[ 0.1455246];[ 0.04042879];[ 0.26513595];[ 0.33303959];[ 0.25597839];[ 0.31978395];['molecules/AlkEthOH_c581.mol2'];[[550]];Bond;['k'];11.2903225806;[#6X4:1]-[#1:2]
8;[ 3.08503301];[ 0.04086147];[ 3.14116592];[ 1.30088812];[ 20.25957089];[ 0.03422077];[ 20.08451361];[ 0.03347209];[159];[ 0.0306398];[ 0.02864426];[ 0.13389432];[ 0.12141759];[ 0.29359651];[ 0.29558493];[ 0.29071558];[ 0.29308387];['molecules/AlkEthOH_c581.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#1:2]
9;[ 3.00446019];[ 0.10230741];[ 3.13489683];[ 0.60297943];[ 20.51546505];[ 0.33129373];[ 20.79296423];[ 0.33325084];[159];[ 0.02586515];[ 0.02951597];[ 0.12273713];[ 0.10460897];[ 0.30646247];[ 0.29305089];[ 0.31124178];[ 0.29746018];['molecules/AlkEthOH_c581.mol2'];[[650]];Bond;['k'];-4.83870967742;[#6X4:1]-[#1:2]
10;[ 3.03263739];[ 0.00237988];[ 2.9181755];[ 0.83725368];[ 20.82439601];[ 0.09753296];[ 21.56104377];[ 0.10193144];[159];[ 0.03025818];[ 0.02968623];[ 0.10050825];[ 0.0672182];[ 0.32307844];[ 0.31447506];[ 0.33493672];[ 0.32577416];['molecules/AlkEthOH_c581.mol2'];[[700]];Bond;['k'];-12.9032258065;[#6X4:1]-[#1:2]
11;[ 3.00170045];[ 0.00426486];[ 3.06705548];[ 0.09634506];[ 20.46672987];[ 0.03837586];[ 21.64587741];[ 0.03973305];[159];[ 0.02692473];[ 0.02850848];[ 0.0808072];[ 0.11613954];[ 0.29471475];[ 0.27231322];[ 0.31154838];[ 0.28625128];['molecules/AlkEthOH_c581.mol2'];[[750]];Bond;['k'];-20.9677419355;[#6X4:1]-[#1:2]
12;[ 3.0540238];[ 0.02714621];[ 2.98254482];[ 0.471817];[ 20.28480245];[ 0.11997928];[ 21.8663219];[ 0.11352644];[159];[ 0.02721061];[ 0.02774407];[ 0.07463352];[ 0.06616787];[ 0.29525935];[ 0.33188254];[ 0.32428718];[ 0.35363035];['molecules/AlkEthOH_c581.mol2'];[[800]];Bond;['k'];-29.0322580645;[#6X4:1]-[#1:2]
13;[ 3.02988252];[ 0.12447454];[ 3.04965538];[ 0.04319748];[ 20.3510578];[ 0.10664309];[ 22.55006402];[ 0.08786627];[159];[ 0.0268535];[ 0.0280386];[ 0.07271355];[ 0.06568268];[ 0.28113253];[ 0.33120955];[ 0.30494818];[ 0.37677813];['molecules/AlkEthOH_c581.mol2'];[[850]];Bond;['k'];-37.0967741935;[#6X4:1]-[#1:2]
14;[ 3.03690383];[ 0.07857433];[ 2.96097554];[ 0.59609034];[ 20.34962469];[ 0.04339426];[ 22.95714925];[ 0.04614099];[159];[ 0.03270466];[ 0.02789298];[ 0.08276323];[ 0.1109119];[ 0.30904405];[ 0.31429429];[ 0.35852236];[ 0.35901027];['molecules/AlkEthOH_c581.mol2'];[[900]];Bond;['k'];-45.1612903226;[#6X4:1]-[#1:2]
15;[ 3.00188365];[ 0.03834696];[ 2.91078833];[ 1.11763573];[ 20.45973928];[ 0.0463579];[ 23.48610671];[ 0.00601227];[159];[ 0.02900179];[ 0.028707];[ 0.08335855];[ 0.07447911];[ 0.31172207];[ 0.32150101];[ 0.35551463];[ 0.3780649];['molecules/AlkEthOH_c581.mol2'];[[950]];Bond;['k'];-53.2258064516;[#6X4:1]-[#1:2]
