;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 2.89600265];[ 0.14353751];[ 2.88042344];[ 0.49021676];[ 50.49212337];[ 0.03356902];[ 49.55806389];[ 0.02202137];[2000];[ 0.0019827];[ 0.00211467];[ 0.07873782];[ 0.0390097];[ 0.06897079];[ 0.05952625];[ 0.06785601];[ 0.05592701];['molecules/AlkEthOH_r51.mol2'];[[200]];Bond;['k'];70.5882352941;[#6X4:1]-[#6X4:2]
1;[ 2.89431111];[ 0.14276149];[ 2.83740679];[ 0.6377639];[ 50.60402598];[ 0.00638345];[ 49.73801508];[ 0.00197952];[2000];[ 0.00211081];[ 0.00216228];[ 0.06703193];[ 0.03034826];[ 0.05304585];[ 0.06353049];[ 0.04892771];[ 0.05883291];['molecules/AlkEthOH_r51.mol2'];[[250]];Bond;['k'];63.2352941176;[#6X4:1]-[#6X4:2]
2;[ 2.89532149];[ 0.07236269];[ 2.82391817];[ 0.95749971];[ 50.41205267];[ 0.05524457];[ 49.67609619];[ 0.04881305];[2000];[ 0.00217433];[ 0.00206397];[ 0.06397398];[ 0.03156654];[ 0.06027619];[ 0.06047197];[ 0.05617452];[ 0.05726043];['molecules/AlkEthOH_r51.mol2'];[[300]];Bond;['k'];55.8823529412;[#6X4:1]-[#6X4:2]
3;[ 2.8970218];[ 0.14563502];[ 2.91209769];[ 0.46964616];[ 50.59570288];[ 0.0724248];[ 49.93251374];[ 0.06801653];[2000];[ 0.0018957];[ 0.0021642];[ 0.05776867];[ 0.03371942];[ 0.06265605];[ 0.0613285];[ 0.05885378];[ 0.05823176];['molecules/AlkEthOH_r51.mol2'];[[350]];Bond;['k'];48.5294117647;[#6X4:1]-[#6X4:2]
4;[ 2.89448745];[ 0.06085569];[ 2.92131626];[ 0.92958494];[ 50.42831676];[ 0.08184598];[ 49.87318775];[ 0.11510528];[2000];[ 0.0021922];[ 0.00210284];[ 0.05389841];[ 0.02913014];[ 0.06139756];[ 0.05818061];[ 0.06023446];[ 0.05561092];['molecules/AlkEthOH_r51.mol2'];[[400]];Bond;['k'];41.1764705882;[#6X4:1]-[#6X4:2]
5;[ 2.89152557];[ 0.14015];[ 2.8905877];[ 0.48502131];[ 50.42862986];[ 0.01440825];[ 49.98495883];[ 0.00471708];[2000];[ 0.00198405];[ 0.00209992];[ 0.04724899];[ 0.03816958];[ 0.06367919];[ 0.06074944];[ 0.06019249];[ 0.05838931];['molecules/AlkEthOH_r51.mol2'];[[450]];Bond;['k'];33.8235294118;[#6X4:1]-[#6X4:2]
6;[ 2.89512302];[ 0.01240088];[ 2.88304589];[ 0.06505474];[ 50.52537874];[ 0.07813768];[ 50.17193523];[ 0.07082128];[2000];[ 0.00224818];[ 0.00211488];[ 0.04211918];[ 0.03858196];[ 0.05781316];[ 0.06233474];[ 0.05705784];[ 0.06052084];['molecules/AlkEthOH_r51.mol2'];[[500]];Bond;['k'];26.4705882353;[#6X4:1]-[#6X4:2]
7;[ 2.89281446];[ 0.03533909];[ 2.8834375];[ 0.31618949];[ 50.44045619];[ 0.01756796];[ 50.18473784];[ 0.02695624];[2000];[ 0.00203006];[ 0.00207972];[ 0.04172738];[ 0.03939373];[ 0.06117357];[ 0.06056031];[ 0.05913073];[ 0.05909257];['molecules/AlkEthOH_r51.mol2'];[[550]];Bond;['k'];19.1176470588;[#6X4:1]-[#6X4:2]
8;[ 2.89620093];[ 0.16632665];[ 2.97506958];[ 0.15853773];[ 50.42385632];[ 0.10108621];[ 50.26607921];[ 0.10494937];[2000];[ 0.00206758];[ 0.00211421];[ 0.03423824];[ 0.01919709];[ 0.06399258];[ 0.06300656];[ 0.06292017];[ 0.06209882];['molecules/AlkEthOH_r51.mol2'];[[600]];Bond;['k'];11.7647058824;[#6X4:1]-[#6X4:2]
9;[ 2.89475705];[ 0.09901587];[ 2.86347212];[ 0.57066857];[ 50.64974234];[ 0.10207977];[ 50.58987921];[ 0.10115248];[2000];[ 0.00224845];[ 0.00214025];[ 0.03648856];[ 0.02884693];[ 0.05922591];[ 0.06177333];[ 0.05873223];[ 0.06141857];['molecules/AlkEthOH_r51.mol2'];[[650]];Bond;['k'];4.41176470588;[#6X4:1]-[#6X4:2]
10;[ 2.89554401];[ 0.06239611];[ 2.89611439];[ 0.51555747];[ 50.51508761];[ 0.24439735];[ 50.5545967];[ 0.24662594];[2000];[ 0.00213896];[ 0.00209119];[ 0.03319821];[ 0.03560712];[ 0.0584939];[ 0.06149578];[ 0.05876587];[ 0.0617327];['molecules/AlkEthOH_r51.mol2'];[[700]];Bond;['k'];-2.94117647059;[#6X4:1]-[#6X4:2]
11;[ 2.89342803];[ 0.05639934];[ 2.84314136];[ 0.52413243];[ 50.37210293];[ 0.09842551];[ 50.50731376];[ 0.0918299];[2000];[ 0.00192665];[ 0.00207316];[ 0.03265657];[ 0.02813775];[ 0.05399345];[ 0.06138518];[ 0.05536236];[ 0.06225992];['molecules/AlkEthOH_r51.mol2'];[[750]];Bond;['k'];-10.2941176471;[#6X4:1]-[#6X4:2]
12;[ 2.89144538];[ 0.18867376];[ 2.83278421];[ 0.42516244];[ 50.39157651];[ 0.09660316];[ 50.62851377];[ 0.09447784];[2000];[ 0.00204981];[ 0.00214445];[ 0.03096177];[ 0.02826589];[ 0.0638734];[ 0.06222876];[ 0.06503466];[ 0.06385479];['molecules/AlkEthOH_r51.mol2'];[[800]];Bond;['k'];-17.6470588235;[#6X4:1]-[#6X4:2]
13;[ 2.89826045];[ 0.06284551];[ 2.84539157];[ 0.72533048];[ 50.57071765];[ 0.04333979];[ 50.91239638];[ 0.05251454];[2000];[ 0.00193617];[ 0.00215233];[ 0.03020858];[ 0.03041322];[ 0.06553413];[ 0.06130212];[ 0.06777904];[ 0.06346275];['molecules/AlkEthOH_r51.mol2'];[[850]];Bond;['k'];-25.0;[#6X4:1]-[#6X4:2]
14;[ 2.89695033];[ 0.05662183];[ 2.88682575];[ 0.74574389];[ 50.56733277];[ 0.19496209];[ 51.00552689];[ 0.21657419];[2000];[ 0.00202379];[ 0.0021105];[ 0.03328483];[ 0.01570388];[ 0.0609468];[ 0.06127301];[ 0.06397893];[ 0.06407617];['molecules/AlkEthOH_r51.mol2'];[[900]];Bond;['k'];-32.3529411765;[#6X4:1]-[#6X4:2]
15;[ 2.89339451];[ 0.09533214];[ 2.87489973];[ 1.17924478];[ 50.38590792];[ 0.20231768];[ 50.92314525];[ 0.20855283];[2000];[ 0.00211418];[ 0.00216336];[ 0.03083887];[ 0.01688335];[ 0.05962646];[ 0.05952546];[ 0.06237393];[ 0.06325681];['molecules/AlkEthOH_r51.mol2'];[[950]];Bond;['k'];-39.7058823529;[#6X4:1]-[#6X4:2]
16;[ 2.89724833];[ 0.00893699];[ 2.87014475];[ 0.69737257];[ 50.51018541];[ 0.11382911];[ 51.13106934];[ 0.12168242];[2000];[ 0.00204691];[ 0.00210324];[ 0.02690853];[ 0.03351379];[ 0.06053491];[ 0.06037026];[ 0.06489519];[ 0.0645183];['molecules/AlkEthOH_r51.mol2'];[[1000]];Bond;['k'];-47.0588235294;[#6X4:1]-[#6X4:2]
17;[ 2.89424948];[ 0.01386582];[ 2.87678816];[ 0.46526157];[ 50.39133008];[ 0.03808829];[ 51.10739495];[ 0.06382277];[2000];[ 0.00219133];[ 0.00206607];[ 0.03016691];[ 0.03345462];[ 0.06230029];[ 0.06131588];[ 0.06878364];[ 0.06609809];['molecules/AlkEthOH_r51.mol2'];[[1050]];Bond;['k'];-54.4117647059;[#6X4:1]-[#6X4:2]
