;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 2.8933766];[ 0.11080024];[ 2.92254357];[ 0.88152336];[ 50.11089946];[ 0.11715305];[ 48.09172224];[ 0.11988297];[2000];[ 0.00209988];[ 0.00216793];[ 0.02096029];[ 0.02027271];[ 0.05717529];[ 0.05692907];[ 0.04599084];[ 0.0482867];['molecules/AlkEthOH_r51.mol2'];[[200]];Bond;['k'];67.7419354839;[#6X4:1]-[#1:2]
1;[ 2.89442341];[ 0.06199746];[ 2.92463957];[ 0.75413092];[ 50.034378];[ 0.13628516];[ 48.24684801];[ 0.14472885];[2000];[ 0.00203802];[ 0.00208602];[ 0.01852797];[ 0.02157245];[ 0.06381818];[ 0.058118];[ 0.05356821];[ 0.04956851];['molecules/AlkEthOH_r51.mol2'];[[250]];Bond;['k'];59.6774193548;[#6X4:1]-[#1:2]
2;[ 2.89441328];[ 0.12256537];[ 2.91485128];[ 1.45896064];[ 50.18025953];[ 0.10112488];[ 48.62009282];[ 0.11294847];[2000];[ 0.00227643];[ 0.00212744];[ 0.01873981];[ 0.01247002];[ 0.05438444];[ 0.05926378];[ 0.04859663];[ 0.0519085];['molecules/AlkEthOH_r51.mol2'];[[300]];Bond;['k'];51.6129032258;[#6X4:1]-[#1:2]
3;[ 2.89181231];[ 0.07349158];[ 2.91683941];[ 0.56320044];[ 50.02144003];[ 0.24265814];[ 48.73097928];[ 0.27441891];[2000];[ 0.0020093];[ 0.00206616];[ 0.01956185];[ 0.02975451];[ 0.06269592];[ 0.05758841];[ 0.05439094];[ 0.05069119];['molecules/AlkEthOH_r51.mol2'];[[350]];Bond;['k'];43.5483870968;[#6X4:1]-[#1:2]
4;[ 2.89646954];[ 0.01143717];[ 2.94138599];[ 0.92713155];[ 50.05653194];[ 0.02143145];[ 48.99444667];[ 0.00505099];[2000];[ 0.00209875];[ 0.00213306];[ 0.01602766];[ 0.01879042];[ 0.0567173];[ 0.05806765];[ 0.05094121];[ 0.05185823];['molecules/AlkEthOH_r51.mol2'];[[400]];Bond;['k'];35.4838709677;[#6X4:1]-[#1:2]
5;[ 2.89296798];[ 0.01177135];[ 2.91812619];[ 0.78837775];[ 50.1141356];[ 0.02776963];[ 49.28441173];[ 0.03214755];[2000];[ 0.00204094];[ 0.00213325];[ 0.01576736];[ 0.01608716];[ 0.04998656];[ 0.05768797];[ 0.04601124];[ 0.05279925];['molecules/AlkEthOH_r51.mol2'];[[450]];Bond;['k'];27.4193548387;[#6X4:1]-[#1:2]
6;[ 2.8954122];[ 0.07361999];[ 2.88794044];[ 1.00927224];[ 49.99980643];[ 0.07585033];[ 49.42580186];[ 0.09383054];[2000];[ 0.00231261];[ 0.00212449];[ 0.01376465];[ 0.01302798];[ 0.05626766];[ 0.05924623];[ 0.05258388];[ 0.05554281];['molecules/AlkEthOH_r51.mol2'];[[500]];Bond;['k'];19.3548387097;[#6X4:1]-[#1:2]
7;[ 2.89437641];[ 0.16336589];[ 2.91257012];[ 0.67536357];[ 50.09041558];[ 0.19666219];[ 49.75132941];[ 0.18642851];[2000];[ 0.00207599];[ 0.00213193];[ 0.01750629];[ 0.02044354];[ 0.05829436];[ 0.05868436];[ 0.05571664];[ 0.05657817];['molecules/AlkEthOH_r51.mol2'];[[550]];Bond;['k'];11.2903225806;[#6X4:1]-[#1:2]
8;[ 2.89433127];[ 0.10877137];[ 2.88767186];[ 0.38693653];[ 50.02161703];[ 0.02250589];[ 49.92569193];[ 0.02164165];[2000];[ 0.00167404];[ 0.00209535];[ 0.0156676];[ 0.01726076];[ 0.05812095];[ 0.05812958];[ 0.05752403];[ 0.05752171];['molecules/AlkEthOH_r51.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#1:2]
9;[ 2.90053709];[ 0.10090263];[ 2.89574766];[ 0.12432102];[ 50.01074267];[ 0.00898764];[ 50.15272905];[ 0.00745551];[2000];[ 0.0019477];[ 0.00207373];[ 0.01548423];[ 0.02180023];[ 0.0569429];[ 0.05921887];[ 0.05798232];[ 0.06015779];['molecules/AlkEthOH_r51.mol2'];[[650]];Bond;['k'];-4.83870967742;[#6X4:1]-[#1:2]
10;[ 2.89322971];[ 0.04553133];[ 2.90400203];[ 0.02344681];[ 50.17760025];[ 0.27015444];[ 50.57363688];[ 0.27040741];[2000];[ 0.00200678];[ 0.00209216];[ 0.01841358];[ 0.01258206];[ 0.05390522];[ 0.05719633];[ 0.05656104];[ 0.05990027];['molecules/AlkEthOH_r51.mol2'];[[700]];Bond;['k'];-12.9032258065;[#6X4:1]-[#1:2]
11;[ 2.89756282];[ 0.05252777];[ 2.89123275];[ 0.44904804];[ 50.14909553];[ 0.08462881];[ 50.79008941];[ 0.08414672];[2000];[ 0.00204676];[ 0.00206747];[ 0.01627684];[ 0.01701303];[ 0.05305619];[ 0.06012251];[ 0.05662575];[ 0.06452269];['molecules/AlkEthOH_r51.mol2'];[[750]];Bond;['k'];-20.9677419355;[#6X4:1]-[#1:2]
12;[ 2.89632112];[ 0.06573382];[ 2.89054783];[ 0.3721315];[ 50.04183192];[ 0.06895755];[ 50.90099144];[ 0.06858306];[2000];[ 0.00207128];[ 0.0021164];[ 0.01775446];[ 0.0228692];[ 0.0618264];[ 0.05841653];[ 0.06881759];[ 0.06475141];['molecules/AlkEthOH_r51.mol2'];[[800]];Bond;['k'];-29.0322580645;[#6X4:1]-[#1:2]
13;[ 2.89250565];[ 0.00455709];[ 2.87495043];[ 0.40264975];[ 49.94977042];[ 0.00806175];[ 51.03533402];[ 0.01495992];[2000];[ 0.00211548];[ 0.00213106];[ 0.01981197];[ 0.01972341];[ 0.05636627];[ 0.05661849];[ 0.06440691];[ 0.06371023];['molecules/AlkEthOH_r51.mol2'];[[850]];Bond;['k'];-37.0967741935;[#6X4:1]-[#1:2]
14;[ 2.89537629];[ 0.11146691];[ 2.86975121];[ 1.12297177];[ 50.05286093];[ 0.02673713];[ 51.43080684];[ 0.01497446];[2000];[ 0.00198389];[ 0.00208407];[ 0.02072533];[ 0.0189555];[ 0.05943463];[ 0.05952875];[ 0.06907007];[ 0.06977493];['molecules/AlkEthOH_r51.mol2'];[[900]];Bond;['k'];-45.1612903226;[#6X4:1]-[#1:2]
