;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 4.78133502];[ 0.05565679];[ 4.75485507];[ 1.51148458];[-11.71760878];[ 0.04538375];[-14.72982544];[ 0.07319854];[78];[ 0.06433143];[ 0.05973048];[ 0.1961023];[ 0.05093521];[ 0.43061729];[ 0.44093577];[ 0.37648212];[ 0.40348905];['molecules/AlkEthOH_c100.mol2'];[[200]];Bond;['k'];67.7419354839;[#6X4:1]-[#1:2]
1;[ 4.82830113];[ 0.08276314];[ 4.46317727];[ 1.64306445];[-11.11796895];[ 0.04620181];[-13.93826664];[ 0.03075961];[78];[ 0.0594012];[ 0.06252529];[ 0.19742188];[ 0.11596312];[ 0.47675318];[ 0.4167986];[ 0.43138231];[ 0.3675374];['molecules/AlkEthOH_c100.mol2'];[[250]];Bond;['k'];59.6774193548;[#6X4:1]-[#1:2]
2;[ 4.74973646];[ 0.17044159];[ 4.47969937];[ 2.20643985];[-10.47165437];[ 0.15898742];[-12.98693422];[ 0.15936022];[78];[ 0.06947004];[ 0.05548757];[ 0.21241161];[ 0.12692649];[ 0.4309641];[ 0.45879318];[ 0.38346727];[ 0.42840156];['molecules/AlkEthOH_c100.mol2'];[[300]];Bond;['k'];51.6129032258;[#6X4:1]-[#1:2]
3;[ 4.76071787];[ 0.05298155];[ 4.98494887];[ 1.46694194];[-11.97164626];[ 0.12486702];[-14.03741743];[ 0.1007699];[78];[ 0.06432466];[ 0.06265277];[ 0.20012022];[ 0.11656444];[ 0.38900199];[ 0.40009121];[ 0.35245965];[ 0.3661296];['molecules/AlkEthOH_c100.mol2'];[[350]];Bond;['k'];43.5483870968;[#6X4:1]-[#1:2]
4;[ 4.68618288];[ 0.01684107];[ 4.56059379];[ 1.15029711];[-11.29934281];[ 0.1032901];[-12.97554884];[ 0.08961794];[78];[ 0.06504492];[ 0.06874553];[ 0.18763575];[ 0.13479644];[ 0.43285464];[ 0.45421886];[ 0.39755755];[ 0.42876762];['molecules/AlkEthOH_c100.mol2'];[[400]];Bond;['k'];35.4838709677;[#6X4:1]-[#1:2]
5;[ 4.71654925];[ 0.01417398];[ 4.65774907];[ 4.10801663];[-11.78766177];[ 0.0836425];[-13.09147464];[ 0.06885953];[78];[ 0.07042068];[ 0.06036519];[ 0.14832072];[ 0.06907412];[ 0.41806287];[ 0.44917488];[ 0.39599441];[ 0.42324649];['molecules/AlkEthOH_c100.mol2'];[[450]];Bond;['k'];27.4193548387;[#6X4:1]-[#1:2]
6;[ 4.75385196];[ 0.17894995];[ 4.8816893];[ 4.56547372];[-10.66833153];[ 0.13225671];[-11.62304995];[ 0.12776848];[78];[ 0.06907857];[ 0.06117524];[ 0.15123186];[ 0.05248779];[ 0.44086596];[ 0.42394218];[ 0.42735919];[ 0.40824147];['molecules/AlkEthOH_c100.mol2'];[[500]];Bond;['k'];19.3548387097;[#6X4:1]-[#1:2]
7;[ 4.78244643];[ 0.03493658];[ 4.49509472];[ 2.37326259];[-11.40458051];[ 0.00745873];[-11.92571496];[ 0.00796042];[78];[ 0.06439642];[ 0.06933074];[ 0.12216028];[ 0.10095131];[ 0.49313862];[ 0.4469399];[ 0.47561973];[ 0.43502198];['molecules/AlkEthOH_c100.mol2'];[[550]];Bond;['k'];11.2903225806;[#6X4:1]-[#1:2]
8;[ 4.79940909];[ 0.03818159];[ 4.80920753];[ 4.29583541];[-11.00340442];[ 0.24164498];[-11.16590043];[ 0.2393862];[78];[ 0.07284785];[ 0.06171922];[ 0.12162689];[ 0.02701223];[ 0.43741409];[ 0.40418014];[ 0.43383771];[ 0.40139284];['molecules/AlkEthOH_c100.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#1:2]
9;[ 4.83949397];[ 0.14798283];[ 4.66181452];[ 1.58290236];[-11.52105627];[ 0.06312489];[-11.27833538];[ 0.06427236];[78];[ 0.07106121];[ 0.06799323];[ 0.10512827];[ 0.1130214];[ 0.46239905];[ 0.44052564];[ 0.46928156];[ 0.44592493];['molecules/AlkEthOH_c100.mol2'];[[650]];Bond;['k'];-4.83870967742;[#6X4:1]-[#1:2]
10;[ 4.82546166];[ 0.16829473];[ 4.62714271];[ 2.04119838];[-11.99613304];[ 0.10844186];[-11.42154584];[ 0.11160324];[78];[ 0.06402387];[ 0.07213795];[ 0.08396739];[ 0.11246145];[ 0.43881867];[ 0.42864547];[ 0.45313769];[ 0.4412364];['molecules/AlkEthOH_c100.mol2'];[[700]];Bond;['k'];-12.9032258065;[#6X4:1]-[#1:2]
11;[ 4.59618321];[ 0.15201766];[ 4.74403678];[ 0.56905954];[-10.89216295];[ 0.05876641];[-9.83822549];[ 0.07230441];[78];[ 0.05813142];[ 0.07358527];[ 0.06647687];[ 0.07440582];[ 0.44513183];[ 0.41100658];[ 0.47242708];[ 0.44065635];['molecules/AlkEthOH_c100.mol2'];[[750]];Bond;['k'];-20.9677419355;[#6X4:1]-[#1:2]
12;[ 4.73117712];[ 0.02068206];[ 4.72582405];[ 3.0683441];[-11.47354006];[ 0.19596489];[-10.03313585];[ 0.18069514];[78];[ 0.06433444];[ 0.0695947];[ 0.07121827];[ 0.10775351];[ 0.43092585];[ 0.42284151];[ 0.46581888];[ 0.46970815];['molecules/AlkEthOH_c100.mol2'];[[800]];Bond;['k'];-29.0322580645;[#6X4:1]-[#1:2]
13;[ 4.91060944];[ 0.10092485];[ 4.8047353];[ 1.71977816];[-10.94124107];[ 0.11767199];[-9.09947263];[ 0.11077992];[78];[ 0.06369405];[ 0.06022823];[ 0.04730454];[ 0.04175837];[ 0.39283763];[ 0.42579219];[ 0.43062948];[ 0.46237064];['molecules/AlkEthOH_c100.mol2'];[[850]];Bond;['k'];-37.0967741935;[#6X4:1]-[#1:2]
14;[ 4.80139284];[ 0.10212674];[ 4.83450093];[ 6.14621449];[-10.62328182];[ 0.05160748];[-8.3285316];[ 0.03107397];[78];[ 0.05718629];[ 0.05999063];[ 0.06575637];[ 0.02357755];[ 0.43329078];[ 0.43743783];[ 0.48986689];[ 0.48974223];['molecules/AlkEthOH_c100.mol2'];[[900]];Bond;['k'];-45.1612903226;[#6X4:1]-[#1:2]
15;[ 4.73859236];[ 0.01561885];[ 4.62105985];[ 0.96901405];[-12.17347424];[ 0.13607677];[-9.64304211];[ 0.14273088];[78];[ 0.06362506];[ 0.06580902];[ 0.05964817];[ 0.09267947];[ 0.42517875];[ 0.41019859];[ 0.47152412];[ 0.47607252];['molecules/AlkEthOH_c100.mol2'];[[950]];Bond;['k'];-53.2258064516;[#6X4:1]-[#1:2]
16;[ 4.83272437];[ 0.08661937];[ 4.76257396];[ 1.34570651];[-11.36658375];[ 0.12781016];[-8.33404278];[ 0.11369941];[78];[ 0.06571313];[ 0.06174458];[ 0.05578702];[ 0.05764882];[ 0.384501];[ 0.47851611];[ 0.4570806];[ 0.56637241];['molecules/AlkEthOH_c100.mol2'];[[1000]];Bond;['k'];-61.2903225806;[#6X4:1]-[#1:2]
17;[ 4.81168165];[ 0.01247835];[ 4.77550784];[ 1.09315027];[-11.16843825];[ 0.11526244];[-7.74298247];[ 0.1026343];[78];[ 0.06555317];[ 0.06023117];[ 0.04470961];[ 0.05707744];[ 0.42662794];[ 0.45451665];[ 0.51298352];[ 0.54920885];['molecules/AlkEthOH_c100.mol2'];[[1050]];Bond;['k'];-69.3548387097;[#6X4:1]-[#1:2]
18;[ 4.85817663];[ 0.01610409];[ 4.86475977];[ 5.09097307];[-11.25072061];[ 0.00824579];[-7.41356237];[ 0.02933548];[78];[ 0.06191402];[ 0.06112876];[ 0.06244037];[ 0.02123291];[ 0.46771896];[ 0.42665456];[ 0.55861976];[ 0.51116207];['molecules/AlkEthOH_c100.mol2'];[[1100]];Bond;['k'];-77.4193548387;[#6X4:1]-[#1:2]
19;[ 4.68069988];[ 0.09620547];[ 4.80897003];[ 4.85892291];[-10.93779313];[ 0.04897244];[-6.95811039];[ 0.06835769];[78];[ 0.06716456];[ 0.05617874];[ 0.05051818];[ 0.03868849];[ 0.40135599];[ 0.46139897];[ 0.51306268];[ 0.54829425];['molecules/AlkEthOH_c100.mol2'];[[1150]];Bond;['k'];-85.4838709677;[#6X4:1]-[#1:2]
