;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;percent_shift;smirks
0;[ 3.23369198];[ 0.00768554];[ 3.28154745];[ 2.37976311];[ 61.43820513];[ 0.10619955];[ 60.99298729];[ 0.11874];[1885];[ 0.00592644];[ 0.00506292];[ 0.0290424];[ 0.02153087];[ 0.07368486];[ 0.06539784];[ 0.07135753];[ 0.06322251];['molecules/AlkEthOH_r0.mol2'];[[200]];Bond;70.5882352941;[#6X4:1]-[#6X4:2]
1;[ 3.24782816];[ 0.00709137];[ 3.25646564];[ 2.13207415];[ 61.44904367];[ 0.14444955];[ 61.03915167];[ 0.12796246];[1885];[ 0.00509563];[ 0.00514087];[ 0.02799391];[ 0.03062139];[ 0.06522294];[ 0.0644466];[ 0.06282044];[ 0.06238174];['molecules/AlkEthOH_r0.mol2'];[[250]];Bond;63.2352941176;[#6X4:1]-[#6X4:2]
