;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 1.09360055];[ 0.0046873];[ 1.10679034];[ 1.84899622];[ 61.2965508];[ 0.06858128];[ 60.25240863];[ 0.02007066];[2000];[ 0.00077633];[ 0.00079254];[ 0.02168638];[ 0.01639785];[ 0.0550583];[ 0.06196185];[ 0.05240022];[ 0.05728711];['molecules/AlkEthOH_r0.mol2'];[[200]];Bond;['k'];67.7419354839;[#6X4:1]-[#1:2]
1;[ 1.09443482];[ 0.00392989];[ 1.11815902];[ 2.64570478];[ 61.27464035];[ 0.05984298];[ 60.35636551];[ 0.05347988];[2000];[ 0.0007411];[ 0.00080471];[ 0.02094202];[ 0.00866603];[ 0.05898829];[ 0.0621493];[ 0.05670498];[ 0.05861872];['molecules/AlkEthOH_r0.mol2'];[[250]];Bond;['k'];59.6774193548;[#6X4:1]-[#1:2]
2;[ 1.09284836];[ 0.04352746];[ 1.09268896];[ 1.68888034];[ 61.24462856];[ 0.03162804];[ 60.46524053];[ 0.01036756];[2000];[ 0.00069875];[ 0.00078919];[ 0.01730328];[ 0.01032994];[ 0.0580496];[ 0.06225533];[ 0.05577639];[ 0.05862144];['molecules/AlkEthOH_r0.mol2'];[[300]];Bond;['k'];51.6129032258;[#6X4:1]-[#1:2]
3;[ 1.09460537];[ 0.13047761];[ 1.10647765];[ 1.1607766];[ 61.20960947];[ 0.12640386];[ 60.55197641];[ 0.12164284];[2000];[ 0.00085538];[ 0.00078483];[ 0.01556944];[ 0.0117802];[ 0.05499385];[ 0.062081];[ 0.05049675];[ 0.05869855];['molecules/AlkEthOH_r0.mol2'];[[350]];Bond;['k'];43.5483870968;[#6X4:1]-[#1:2]
4;[ 1.09227329];[ 0.0174894];[ 1.08452194];[ 1.37342722];[ 61.30271107];[ 0.04930796];[ 60.75791671];[ 0.04915542];[2000];[ 0.00075516];[ 0.00080106];[ 0.01232237];[ 0.00998569];[ 0.0655949];[ 0.06337088];[ 0.06310387];[ 0.06007439];['molecules/AlkEthOH_r0.mol2'];[[400]];Bond;['k'];35.4838709677;[#6X4:1]-[#1:2]
5;[ 1.09329145];[ 0.10369067];[ 1.08186647];[ 0.79191205];[ 61.30827937];[ 0.04448522];[ 60.8856649];[ 0.06551875];[2000];[ 0.00073205];[ 0.00078012];[ 0.009499];[ 0.01349388];[ 0.06370237];[ 0.0622769];[ 0.06132675];[ 0.05983654];['molecules/AlkEthOH_r0.mol2'];[[450]];Bond;['k'];27.4193548387;[#6X4:1]-[#1:2]
6;[ 1.09387546];[ 0.06189326];[ 1.08021704];[ 0.8876136];[ 61.29648859];[ 0.04558698];[ 60.99836356];[ 0.04426654];[2000];[ 0.00066057];[ 0.00078723];[ 0.0071065];[ 0.00766851];[ 0.05746305];[ 0.06351922];[ 0.05554647];[ 0.06162001];['molecules/AlkEthOH_r0.mol2'];[[500]];Bond;['k'];19.3548387097;[#6X4:1]-[#1:2]
7;[ 1.09111859];[ 0.05993394];[ 1.07468804];[ 0.94626161];[ 61.30852598];[ 0.11430042];[ 61.13702496];[ 0.11191707];[2000];[ 0.00082448];[ 0.00078664];[ 0.00719902];[ 0.00715694];[ 0.06178442];[ 0.06295905];[ 0.06085309];[ 0.06196453];['molecules/AlkEthOH_r0.mol2'];[[550]];Bond;['k'];11.2903225806;[#6X4:1]-[#1:2]
8;[ 1.09352085];[ 0.06278404];[ 1.08450044];[ 1.00214167];[ 61.18847975];[ 0.04093818];[ 61.13981924];[ 0.04104957];[2000];[ 0.0008046];[ 0.00079122];[ 0.00665311];[ 0.00711031];[ 0.05690814];[ 0.06006874];[ 0.05671882];[ 0.05975465];['molecules/AlkEthOH_r0.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#1:2]
9;[ 1.09481069];[ 0.18523216];[ 1.07855444];[ 2.96130363];[ 61.2860703];[ 0.04198655];[ 61.35906512];[ 0.0428495];[2000];[ 0.00076032];[ 0.00077876];[ 0.00523649];[ 0.00249895];[ 0.06002769];[ 0.06221787];[ 0.06049965];[ 0.06266327];['molecules/AlkEthOH_r0.mol2'];[[650]];Bond;['k'];-4.83870967742;[#6X4:1]-[#1:2]
10;[ 1.09244071];[ 0.07498181];[ 1.08694411];[ 0.63621403];[ 61.26871311];[ 0.02743524];[ 61.46597158];[ 0.02181451];[2000];[ 0.00068226];[ 0.00080005];[ 0.00473539];[ 0.00510864];[ 0.05888154];[ 0.06160293];[ 0.05991034];[ 0.06303951];['molecules/AlkEthOH_r0.mol2'];[[700]];Bond;['k'];-12.9032258065;[#6X4:1]-[#1:2]
11;[ 1.0929769];[ 0.08819496];[ 1.09137017];[ 1.40711149];[ 61.29252092];[ 0.01916931];[ 61.6119218];[ 0.01949631];[2000];[ 0.00069225];[ 0.00077162];[ 0.00464504];[ 0.0038165];[ 0.06687331];[ 0.06164205];[ 0.06913181];[ 0.06384792];['molecules/AlkEthOH_r0.mol2'];[[750]];Bond;['k'];-20.9677419355;[#6X4:1]-[#1:2]
