#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,65.2781611664,365.212633367,0.0153853111044
2000,45.9280638915,240.525907105,0.0153853111044
3000,43.0846224386,320.844533678,0.0153853111044
4000,66.1822389686,270.928284442,0.0153853111044
5000,32.1297001509,218.880787844,0.0153853111044
6000,47.7436780071,211.480333213,0.0153853111044
7000,57.2857275103,204.538606643,0.0153853111044
8000,45.2415289549,328.603595614,0.0153853111044
9000,50.3799429374,306.382860209,0.0153853111044
10000,25.3240409065,351.030442783,0.0153853111044
11000,65.2371595067,210.73741599,0.0153853111044
12000,60.565455447,295.398744939,0.0153853111044
13000,66.961974378,395.742431429,0.0153853111044
14000,66.7861623581,245.225709438,0.0153853111044
15000,63.4655864444,252.359625551,0.0153853111044
16000,47.9815643666,384.856045887,0.0153853111044
17000,66.3036409248,221.893806399,0.0153853111044
18000,70.358178228,215.960482659,0.0153853111044
19000,61.8072453143,361.565007041,0.0153853111044
20000,45.2484660628,293.595142559,0.0153853111044
21000,70.8074333318,313.450313454,0.0153853111044
22000,55.461208349,264.371394296,0.0153853111044
23000,54.4205341713,244.776420213,0.0153853111044
24000,35.3876819166,179.54879071,0.0153853111044
25000,48.0094568949,268.172135764,0.0153853111044
26000,67.176902572,240.243161712,0.0153853111044
27000,62.1226153262,372.191819576,0.0153853111044
28000,89.5420772301,210.133777101,0.0153853111044
29000,68.3271990076,268.234963796,0.0153853111044
30000,78.8150704389,360.423817324,0.0153853111044
31000,50.0601193397,377.254580964,0.0153853111044
32000,59.2663868925,319.982794142,0.0153853111044
33000,55.0730033035,240.953291908,0.0153853111044
34000,45.0999623028,283.965255411,0.0153853111044
35000,70.0842921572,218.666402161,0.0153853111044
36000,46.5900627014,226.655310554,0.0153853111044
37000,46.8203550887,315.572615688,0.0153853111044
38000,41.4902248253,252.69772575,0.0153853111044
39000,61.9405923313,413.203010663,0.0153853111044
40000,61.5258029051,136.114140566,0.0153853111044
41000,46.3889343349,351.528304918,0.0153853111044
42000,66.8055651502,265.429669157,0.0153853111044
43000,44.9097237174,268.145388152,0.0153853111044
44000,54.7845776112,272.126515877,0.0153853111044
45000,31.4722857106,219.801610419,0.0153853111044
46000,51.0278599709,132.429790025,0.0153853111044
47000,69.6773548308,193.963261374,0.0153853111044
48000,47.6039123205,423.794512899,0.0153853111044
