#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,250.907999868,233.653524113,0.0186973163154
2000,262.571211944,274.107342528,0.0186973163154
3000,270.888558873,313.451972307,0.0186973163154
4000,268.664692395,335.250746247,0.0186973163154
5000,243.88694336,195.929286309,0.0186973163154
6000,257.924230818,271.230303703,0.0186973163154
7000,260.864950344,322.269530578,0.0186973163154
8000,263.444850984,459.944917288,0.0186973163154
9000,271.101978985,222.661588272,0.0186973163154
10000,271.841109188,299.646997719,0.0186973163154
11000,264.756441376,365.057780114,0.0186973163154
12000,249.623274093,255.406883184,0.0186973163154
13000,262.532570967,353.515259585,0.0186973163154
14000,267.529985244,341.670980335,0.0186973163154
15000,260.214004463,418.897440893,0.0186973163154
16000,256.795738228,231.94942774,0.0186973163154
17000,253.121636708,296.151241846,0.0186973163154
18000,266.812642702,325.361295121,0.0186973163154
19000,265.591751482,219.735075085,0.0186973163154
20000,266.125674342,367.023775357,0.0186973163154
21000,256.733520828,373.175027768,0.0186973163154
22000,272.302587492,252.501389162,0.0186973163154
23000,244.386815297,303.370077667,0.0186973163154
24000,254.968674682,214.958986102,0.0186973163154
25000,278.359472268,287.5423697,0.0186973163154
26000,268.045527717,407.089176662,0.0186973163154
27000,253.865092531,198.537710245,0.0186973163154
28000,264.797980302,242.923191138,0.0186973163154
29000,258.746213076,193.852195112,0.0186973163154
30000,240.894206809,333.514049507,0.0186973163154
31000,267.311801007,217.683954976,0.0186973163154
32000,246.144144061,277.587754463,0.0186973163154
33000,244.744276653,234.697221442,0.0186973163154
34000,256.474505007,267.099794383,0.0186973163154
35000,256.925143214,339.232754159,0.0186973163154
36000,236.489169367,234.572060397,0.0186973163154
37000,250.294179789,213.458422395,0.0186973163154
38000,247.946742686,284.929166394,0.0186973163154
39000,246.322937368,481.057424937,0.0186973163154
40000,246.039443678,320.131296183,0.0186973163154
41000,256.159451462,459.722361649,0.0186973163154
42000,262.503460434,361.243296435,0.0186973163154
43000,248.543742041,269.695455126,0.0186973163154
44000,279.415625798,429.668326203,0.0186973163154
45000,255.31074907,387.809804239,0.0186973163154
46000,248.833072192,234.417794685,0.0186973163154
47000,249.916597284,294.177291044,0.0186973163154
48000,252.058098401,258.618840268,0.0186973163154
49000,254.428425964,250.048964475,0.0186973163154
50000,241.514793282,341.762717152,0.0186973163154
51000,258.997919783,261.22580048,0.0186973163154
52000,274.237866416,301.197103669,0.0186973163154
53000,264.591452114,360.814847215,0.0186973163154
54000,250.820088437,400.314558226,0.0186973163154
55000,259.938247588,294.435830032,0.0186973163154
56000,260.748986704,183.482979847,0.0186973163154
