#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,250.717396655,420.156395964,0.0186973163154
2000,254.259090848,274.762790072,0.0186973163154
3000,247.42291711,288.225198257,0.0186973163154
4000,255.32510227,235.571619202,0.0186973163154
5000,265.699070455,193.655785956,0.0186973163154
6000,260.976465465,318.698076948,0.0186973163154
7000,243.460678855,310.228283792,0.0186973163154
8000,261.862338458,198.651381124,0.0186973163154
9000,263.259584543,267.054192185,0.0186973163154
10000,238.370093395,528.784552468,0.0186973163154
11000,246.579946803,460.037148889,0.0186973163154
12000,286.213416697,297.557776656,0.0186973163154
13000,268.577261297,314.66930897,0.0186973163154
14000,264.104235279,333.313933898,0.0186973163154
15000,254.001411282,469.556225612,0.0186973163154
16000,289.896141191,294.563825921,0.0186973163154
17000,272.707654944,307.850775429,0.0186973163154
18000,246.492582618,432.518077971,0.0186973163154
19000,256.126274474,346.073937232,0.0186973163154
20000,251.117095286,411.372373163,0.0186973163154
21000,234.394108432,231.393792227,0.0186973163154
22000,249.099860019,354.080386262,0.0186973163154
23000,242.438288476,323.346705165,0.0186973163154
24000,247.467790327,388.832102697,0.0186973163154
25000,252.244545756,194.903960578,0.0186973163154
26000,268.392011233,283.241546094,0.0186973163154
27000,253.855448907,222.955275552,0.0186973163154
28000,245.127054137,378.932287943,0.0186973163154
29000,275.176718587,422.768034585,0.0186973163154
30000,272.322206487,282.520335658,0.0186973163154
31000,254.594760871,321.693516009,0.0186973163154
32000,272.158316342,155.453358484,0.0186973163154
33000,263.724717435,249.19561764,0.0186973163154
34000,266.313090694,165.251417737,0.0186973163154
35000,246.863082121,356.808934516,0.0186973163154
36000,248.617004019,257.909002332,0.0186973163154
37000,232.678899433,203.70869825,0.0186973163154
38000,243.271301559,393.084739933,0.0186973163154
39000,246.266683307,379.137556441,0.0186973163154
40000,272.900666461,262.838771794,0.0186973163154
41000,260.144947112,246.710917927,0.0186973163154
42000,235.356780487,412.944128401,0.0186973163154
43000,264.959434345,204.686006678,0.0186973163154
44000,253.578175922,461.930776765,0.0186973163154
45000,276.358387067,250.496718937,0.0186973163154
46000,263.899139415,293.906596553,0.0186973163154
47000,246.31432537,383.547387028,0.0186973163154
48000,249.081817491,280.642281116,0.0186973163154
49000,257.617177448,340.982716449,0.0186973163154
50000,271.403762238,235.069806106,0.0186973163154
51000,250.89989079,317.388461453,0.0186973163154
52000,260.618480797,194.711169328,0.0186973163154
53000,271.419250379,369.397661258,0.0186973163154
54000,261.551502913,277.269367467,0.0186973163154
55000,248.069243427,249.797326566,0.0186973163154
56000,265.014476649,183.488022551,0.0186973163154
57000,241.880912687,258.066629441,0.0186973163154
58000,264.673448493,349.417511014,0.0186973163154
59000,259.510178123,271.752174207,0.0186973163154
60000,249.730452472,328.342701458,0.0186973163154
61000,248.56835682,302.090946011,0.0186973163154
62000,272.526910259,316.410602001,0.0186973163154
63000,263.268837917,454.212832288,0.0186973163154
64000,247.430055262,241.87786483,0.0186973163154
65000,264.691091181,189.986941486,0.0186973163154
66000,259.964075705,226.289036278,0.0186973163154
67000,248.368409231,279.911266644,0.0186973163154
68000,260.235186267,234.900582287,0.0186973163154
69000,260.72399249,319.751352102,0.0186973163154
70000,258.995207805,228.231633826,0.0186973163154
71000,246.617410401,281.13238002,0.0186973163154
72000,242.395259624,176.187023287,0.0186973163154
73000,258.185832892,278.317010769,0.0186973163154
74000,252.850664593,338.844406071,0.0186973163154
75000,251.414635865,337.536172286,0.0186973163154
76000,250.064967111,240.570119287,0.0186973163154
77000,258.147848505,313.863045235,0.0186973163154
78000,261.488265978,352.94480888,0.0186973163154
79000,254.499042307,432.931322258,0.0186973163154
80000,255.380357583,399.493858989,0.0186973163154
81000,254.481047132,373.162525835,0.0186973163154
82000,233.586765693,400.810930051,0.0186973163154
83000,249.922053648,239.792900436,0.0186973163154
84000,258.126380791,186.442640935,0.0186973163154
85000,262.601123664,295.389077777,0.0186973163154
86000,248.500557562,255.422139001,0.0186973163154
87000,269.140219506,234.40922198,0.0186973163154
88000,258.317076469,338.168617931,0.0186973163154
89000,276.650857153,372.406477555,0.0186973163154
90000,249.197341592,458.584349784,0.0186973163154
91000,254.109031175,327.96547281,0.0186973163154
92000,243.329246015,277.465493824,0.0186973163154
93000,246.185000962,276.623678058,0.0186973163154
94000,268.077624524,220.09168174,0.0186973163154
95000,239.012486095,265.018444491,0.0186973163154
96000,254.08239938,275.415282926,0.0186973163154
97000,259.4579944,299.343361379,0.0186973163154
98000,241.917430468,380.717357009,0.0186973163154
99000,246.106865348,327.854610736,0.0186973163154
100000,248.382711731,279.979804704,0.0186973163154
