#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-189.051302314,324.397769917,0.0336641936488
2000,-187.196959624,276.53179883,0.0336641936488
3000,-174.340867865,373.574627597,0.0336641936488
4000,-179.855219138,303.138984389,0.0336641936488
5000,-195.817492347,317.379907935,0.0336641936488
6000,-191.447154559,286.4528535,0.0336641936488
7000,-185.224859093,197.45015885,0.0336641936488
8000,-166.918245169,244.397486787,0.0336641936488
9000,-155.53823909,271.338037273,0.0336641936488
10000,-157.256212308,346.802902501,0.0336641936488
11000,-174.400789871,300.565650801,0.0336641936488
12000,-166.975363713,323.119651436,0.0336641936488
13000,-157.120955068,245.648149726,0.0336641936488
14000,-203.687151196,310.286222798,0.0336641936488
15000,-168.055766852,222.275114768,0.0336641936488
16000,-173.556116788,345.875584595,0.0336641936488
17000,-186.084033594,190.457741244,0.0336641936488
18000,-157.662403377,307.170200702,0.0336641936488
19000,-136.803066705,402.055571349,0.0336641936488
20000,-161.201799357,264.911549625,0.0336641936488
21000,-184.691920781,322.582514549,0.0336641936488
22000,-181.959269822,225.540965788,0.0336641936488
23000,-175.489631214,253.79159264,0.0336641936488
24000,-151.176396676,305.523232423,0.0336641936488
25000,-184.759766724,321.730619811,0.0336641936488
26000,-197.057816087,337.372987477,0.0336641936488
27000,-198.596237636,275.035682239,0.0336641936488
28000,-185.896323928,217.949838617,0.0336641936488
29000,-183.725785034,213.672169686,0.0336641936488
30000,-195.046594653,256.324955125,0.0336641936488
31000,-186.067232125,278.475515965,0.0336641936488
32000,-183.596958593,245.544455496,0.0336641936488
33000,-176.666413468,356.959126264,0.0336641936488
34000,-174.152236604,220.995018602,0.0336641936488
35000,-190.00327246,346.305437229,0.0336641936488
36000,-144.512083732,239.03782928,0.0336641936488
37000,-139.737734244,263.422917076,0.0336641936488
38000,-187.569260091,258.689401234,0.0336641936488
39000,-162.045210613,213.82623835,0.0336641936488
40000,-176.423991155,296.379521842,0.0336641936488
41000,-169.651145232,294.831632487,0.0336641936488
42000,-169.62695071,301.886063244,0.0336641936488
43000,-131.448509704,333.481316061,0.0336641936488
44000,-176.510772836,393.133382056,0.0336641936488
45000,-143.6843783,313.441888084,0.0336641936488
46000,-183.060087057,411.830515434,0.0336641936488
47000,-186.458592538,364.821552374,0.0336641936488
48000,-193.266488088,278.493281029,0.0336641936488
49000,-148.430865698,374.644146856,0.0336641936488
50000,-129.318979075,210.250722232,0.0336641936488
51000,-174.413421126,361.561052463,0.0336641936488
52000,-156.005221894,224.080067443,0.0336641936488
53000,-138.326694846,302.999975962,0.0336641936488
54000,-205.493940524,374.13709004,0.0336641936488
55000,-173.310344032,308.729763202,0.0336641936488
56000,-162.040004254,205.302696711,0.0336641936488
57000,-169.309834222,284.627093664,0.0336641936488
58000,-186.721189962,377.405056377,0.0336641936488
59000,-171.238485574,312.813180524,0.0336641936488
60000,-184.797158013,294.423760616,0.0336641936488
61000,-200.487083298,351.633480444,0.0336641936488
62000,-197.089300641,224.120691074,0.0336641936488
63000,-143.977302389,281.213213016,0.0336641936488
64000,-152.844985969,426.593325301,0.0336641936488
65000,-182.810593799,295.051476644,0.0336641936488
66000,-203.05043084,283.551978565,0.0336641936488
67000,-186.606745136,349.751345911,0.0336641936488
68000,-186.934403223,406.350985111,0.0336641936488
69000,-171.09132496,429.449226705,0.0336641936488
70000,-208.956449218,344.205891479,0.0336641936488
71000,-183.660915124,272.240666447,0.0336641936488
72000,-162.663628274,283.845516951,0.0336641936488
73000,-168.351983562,328.098644014,0.0336641936488
74000,-202.444275337,325.314695142,0.0336641936488
75000,-165.505609567,309.598605737,0.0336641936488
76000,-177.414506818,288.447017527,0.0336641936488
77000,-172.45803784,317.377214543,0.0336641936488
78000,-189.819915927,245.000520829,0.0336641936488
79000,-160.649181477,294.666027711,0.0336641936488
80000,-164.201490348,365.916156805,0.0336641936488
81000,-178.131085034,254.667075679,0.0336641936488
82000,-156.546966127,364.681529685,0.0336641936488
83000,-187.379365456,368.862043757,0.0336641936488
84000,-183.160318194,211.616949117,0.0336641936488
85000,-187.172269432,282.287181737,0.0336641936488
86000,-178.281449434,337.226657252,0.0336641936488
87000,-190.016599124,332.363113327,0.0336641936488
88000,-173.704457463,255.139416654,0.0336641936488
89000,-191.611879163,233.569040258,0.0336641936488
90000,-164.220417401,251.176135645,0.0336641936488
91000,-177.242898507,353.280770551,0.0336641936488
92000,-174.854606592,326.241988619,0.0336641936488
93000,-144.430030632,326.972802781,0.0336641936488
94000,-186.683978904,255.398978189,0.0336641936488
95000,-181.382239924,318.364194653,0.0336641936488
96000,-174.990330498,277.627674157,0.0336641936488
97000,-173.273796782,381.361818959,0.0336641936488
98000,-179.72920475,275.829481492,0.0336641936488
99000,-192.293907385,238.801058843,0.0336641936488
100000,-173.836099159,297.348625636,0.0336641936488
