#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,137.249493865,292.49790695,0.0245202753565
2000,104.280303118,293.034337727,0.0245202753565
3000,128.871395821,321.727962057,0.0245202753565
4000,90.3074862331,294.639792342,0.0245202753565
5000,102.755332088,336.161061718,0.0245202753565
6000,109.426062979,282.873861397,0.0245202753565
7000,114.449641457,173.315074326,0.0245202753565
8000,104.794303162,288.433981864,0.0245202753565
9000,135.379141141,400.536912066,0.0245202753565
10000,103.514152738,247.102298354,0.0245202753565
11000,106.392747369,312.63188775,0.0245202753565
12000,111.05880265,272.798354146,0.0245202753565
13000,94.4048396779,260.478531856,0.0245202753565
14000,128.782081674,181.570941247,0.0245202753565
15000,123.086482981,260.626617146,0.0245202753565
16000,113.406365503,280.869909755,0.0245202753565
17000,102.717917927,536.146868356,0.0245202753565
18000,88.8134400675,432.833370519,0.0245202753565
19000,109.973385845,338.378506526,0.0245202753565
20000,97.3056493996,295.640818839,0.0245202753565
21000,113.035708762,310.864649662,0.0245202753565
22000,112.487422984,334.517503483,0.0245202753565
23000,105.809611066,413.673195429,0.0245202753565
24000,142.653219215,380.009069524,0.0245202753565
25000,141.895667353,344.072369192,0.0245202753565
26000,109.659743528,395.263966312,0.0245202753565
27000,134.213650397,238.113648652,0.0245202753565
28000,115.405367225,268.479270396,0.0245202753565
29000,107.079485941,283.411793133,0.0245202753565
30000,128.324906492,272.780428369,0.0245202753565
31000,130.939227415,159.842115885,0.0245202753565
32000,132.877061448,263.930578862,0.0245202753565
33000,111.923286338,190.699128578,0.0245202753565
34000,98.9300729862,295.414135626,0.0245202753565
35000,131.886181671,348.804421875,0.0245202753565
36000,114.303739633,222.765902098,0.0245202753565
37000,88.8826765917,491.807507067,0.0245202753565
38000,114.014827427,265.243580158,0.0245202753565
39000,123.517174466,311.893904683,0.0245202753565
40000,129.042421945,221.600465077,0.0245202753565
41000,113.678828752,285.578248026,0.0245202753565
42000,133.630117976,256.359717714,0.0245202753565
43000,124.21571348,394.363675402,0.0245202753565
44000,118.674377644,318.708826512,0.0245202753565
45000,114.0353733,377.438677881,0.0245202753565
46000,135.914889885,298.34242779,0.0245202753565
47000,134.225932447,344.355725165,0.0245202753565
48000,100.178339172,241.688495008,0.0245202753565
49000,95.9139024602,344.850874017,0.0245202753565
50000,114.831667064,339.685111158,0.0245202753565
51000,125.383364107,246.325378448,0.0245202753565
52000,121.691318271,226.522243935,0.0245202753565
53000,96.0543013445,283.485077049,0.0245202753565
54000,115.081300374,277.499375832,0.0245202753565
55000,114.464494568,296.912418019,0.0245202753565
56000,116.856981544,319.399641915,0.0245202753565
57000,110.264961322,360.388914307,0.0245202753565
58000,146.819917066,189.0534744,0.0245202753565
59000,88.6408224895,226.251077641,0.0245202753565
60000,95.6007821381,207.052414171,0.0245202753565
61000,111.276296053,261.555216996,0.0245202753565
62000,117.509434916,387.133908627,0.0245202753565
63000,86.0569273616,304.532275186,0.0245202753565
64000,114.571387285,264.155633526,0.0245202753565
65000,112.562890154,314.64986014,0.0245202753565
66000,109.836446119,278.652879412,0.0245202753565
67000,95.7792129354,280.667805619,0.0245202753565
68000,130.33782644,219.151495566,0.0245202753565
69000,109.885009847,238.83112376,0.0245202753565
70000,89.4061739313,288.920377661,0.0245202753565
71000,119.885486282,230.138354013,0.0245202753565
72000,98.7775755469,223.686068908,0.0245202753565
73000,96.4860439779,285.689646684,0.0245202753565
74000,149.817178689,255.063030995,0.0245202753565
75000,114.103215351,292.476989634,0.0245202753565
76000,132.283730717,194.639637352,0.0245202753565
77000,128.916792564,318.231091504,0.0245202753565
78000,94.3147500756,237.16209639,0.0245202753565
79000,77.5272274954,350.589823752,0.0245202753565
80000,90.8545823046,350.02780563,0.0245202753565
81000,97.2929823304,269.482812852,0.0245202753565
82000,88.2493022789,361.981941702,0.0245202753565
83000,122.115240665,365.633336814,0.0245202753565
84000,99.4450415681,351.370340565,0.0245202753565
85000,105.666973756,331.723846932,0.0245202753565
86000,122.346871614,377.610885087,0.0245202753565
87000,118.761351146,340.446160732,0.0245202753565
88000,118.462247188,281.544356405,0.0245202753565
89000,100.934759689,301.943674278,0.0245202753565
90000,155.481359966,276.176300809,0.0245202753565
91000,102.13144198,224.393795579,0.0245202753565
92000,99.424984369,268.048789226,0.0245202753565
93000,119.42516398,336.812726038,0.0245202753565
94000,118.521727317,418.157552414,0.0245202753565
95000,135.139893056,411.593153756,0.0245202753565
96000,111.745943611,309.88040065,0.0245202753565
97000,107.889306779,262.945792601,0.0245202753565
98000,116.679161603,284.064297767,0.0245202753565
99000,92.6335322477,380.2311481,0.0245202753565
100000,113.658214208,299.382249871,0.0245202753565
