#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,262.449109423,313.94416595,0.0216087958359
2000,271.62957904,277.109343157,0.0216087958359
3000,264.381197631,327.083420221,0.0216087958359
4000,272.827531142,308.502836923,0.0216087958359
5000,267.196049278,366.93567642,0.0216087958359
6000,263.559530906,298.799742806,0.0216087958359
7000,269.988723753,265.09151936,0.0216087958359
8000,247.181824205,285.998022065,0.0216087958359
9000,255.283632245,327.892980875,0.0216087958359
10000,265.954364363,279.519476971,0.0216087958359
11000,303.207092413,216.275854424,0.0216087958359
12000,257.75700868,252.886303719,0.0216087958359
13000,268.081499143,327.554782766,0.0216087958359
14000,285.517687874,325.434696527,0.0216087958359
15000,285.152726098,354.341897245,0.0216087958359
16000,269.534136844,164.9154531,0.0216087958359
17000,264.058269923,237.688968399,0.0216087958359
18000,265.036854761,267.017963933,0.0216087958359
19000,262.421950646,281.617080369,0.0216087958359
20000,275.693403848,252.965821461,0.0216087958359
21000,290.557157102,225.772167764,0.0216087958359
22000,285.277618493,320.747976575,0.0216087958359
23000,277.020384232,215.638758234,0.0216087958359
24000,265.978661641,216.169671814,0.0216087958359
25000,263.144404066,330.967246262,0.0216087958359
26000,259.549367869,383.379346393,0.0216087958359
27000,267.997698037,308.108310197,0.0216087958359
28000,257.90303565,386.779503504,0.0216087958359
29000,254.425464591,252.716533382,0.0216087958359
30000,242.779900968,146.59532573,0.0216087958359
31000,238.976110682,382.736879622,0.0216087958359
32000,290.34045613,316.955283958,0.0216087958359
33000,282.371459223,498.848357374,0.0216087958359
34000,243.349392019,334.714248399,0.0216087958359
35000,279.54652157,335.372186738,0.0216087958359
36000,272.581233721,419.26551213,0.0216087958359
37000,283.838814052,574.424030855,0.0216087958359
38000,256.469337939,402.51055953,0.0216087958359
39000,265.326563047,340.140575283,0.0216087958359
40000,254.776298587,390.389615018,0.0216087958359
41000,268.949555664,280.480686521,0.0216087958359
42000,270.646000224,399.322951546,0.0216087958359
43000,259.607257638,232.384070312,0.0216087958359
44000,251.997624632,248.624287513,0.0216087958359
45000,242.698743371,399.420497035,0.0216087958359
46000,266.855692397,298.331239927,0.0216087958359
47000,271.572789936,305.835082429,0.0216087958359
48000,276.166380282,258.449712532,0.0216087958359
49000,254.057300537,367.53763284,0.0216087958359
50000,279.971016845,198.975186806,0.0216087958359
51000,258.048803598,381.337329638,0.0216087958359
52000,258.497646805,402.816957825,0.0216087958359
53000,277.504360331,348.611501082,0.0216087958359
54000,269.722548365,267.064814413,0.0216087958359
55000,264.744047419,225.473753597,0.0216087958359
56000,271.545883975,235.898736452,0.0216087958359
57000,265.603420085,311.898682004,0.0216087958359
58000,259.936089319,295.241521028,0.0216087958359
59000,253.077834812,390.899258427,0.0216087958359
60000,256.351803564,269.149796608,0.0216087958359
61000,262.76098291,235.604494647,0.0216087958359
62000,295.692871164,241.863600914,0.0216087958359
63000,287.470875547,380.745483338,0.0216087958359
64000,264.441461805,299.377711042,0.0216087958359
65000,258.983564495,210.175808905,0.0216087958359
66000,258.444386378,312.767050783,0.0216087958359
67000,267.823013744,256.037421801,0.0216087958359
68000,278.293862775,365.043725938,0.0216087958359
69000,264.454288993,282.489854261,0.0216087958359
70000,258.502455948,259.027063582,0.0216087958359
71000,249.50922258,300.253335763,0.0216087958359
72000,260.000723372,369.086609976,0.0216087958359
73000,313.176935486,278.59979347,0.0216087958359
74000,273.460707606,273.713089109,0.0216087958359
75000,250.179855469,378.853520654,0.0216087958359
76000,254.313355514,294.442811284,0.0216087958359
77000,254.833012538,241.534165022,0.0216087958359
78000,299.901967841,333.527026539,0.0216087958359
79000,270.041886073,371.05669187,0.0216087958359
80000,285.681007024,324.174646473,0.0216087958359
81000,265.038953698,314.114852373,0.0216087958359
82000,268.710997464,308.277468053,0.0216087958359
83000,244.739380197,256.968910381,0.0216087958359
84000,252.620691527,309.431272151,0.0216087958359
85000,276.62296648,242.111893278,0.0216087958359
86000,267.18274468,315.215113814,0.0216087958359
87000,278.759004819,324.542876368,0.0216087958359
88000,247.243782033,298.421913791,0.0216087958359
89000,279.558156039,268.210555863,0.0216087958359
90000,265.230930549,234.445020331,0.0216087958359
91000,281.957506107,434.052621107,0.0216087958359
92000,266.234284042,527.044731796,0.0216087958359
93000,259.838983925,304.749105434,0.0216087958359
94000,294.204052883,309.053318932,0.0216087958359
95000,252.306329273,248.990636306,0.0216087958359
96000,267.134889772,212.017263041,0.0216087958359
97000,254.020454371,361.105504491,0.0216087958359
98000,248.168104803,330.599332844,0.0216087958359
99000,292.009053814,309.838411147,0.0216087958359
100000,258.829550179,451.880548458,0.0216087958359
