#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,-182.876179848,195.14620532,0.0336641936488
2000,-160.390792032,307.102451908,0.0336641936488
3000,-189.575127904,327.831429427,0.0336641936488
4000,-173.811998078,283.245447036,0.0336641936488
5000,-200.373616683,310.105389584,0.0336641936488
6000,-186.407173316,419.184265842,0.0336641936488
7000,-171.107941096,234.434651708,0.0336641936488
8000,-181.468246353,247.676987207,0.0336641936488
9000,-183.583177885,389.79780691,0.0336641936488
10000,-153.632028519,248.578596743,0.0336641936488
11000,-202.283747431,362.869687647,0.0336641936488
12000,-163.392189351,305.558401121,0.0336641936488
13000,-191.232603806,242.34449681,0.0336641936488
14000,-182.415612533,160.444105791,0.0336641936488
15000,-188.002920233,328.153348078,0.0336641936488
16000,-187.04878301,241.464378542,0.0336641936488
17000,-187.291763975,232.291103457,0.0336641936488
18000,-175.618680681,251.709376366,0.0336641936488
19000,-139.895568593,245.103595585,0.0336641936488
20000,-193.26456268,325.915055725,0.0336641936488
21000,-166.029960207,354.099020967,0.0336641936488
22000,-159.094365436,316.028129048,0.0336641936488
23000,-166.034281098,358.331322797,0.0336641936488
24000,-179.102423329,352.137656801,0.0336641936488
25000,-177.948699219,282.600678357,0.0336641936488
26000,-170.455415421,359.14298093,0.0336641936488
27000,-197.201004053,235.20905241,0.0336641936488
28000,-156.491912634,302.358710695,0.0336641936488
29000,-182.138382772,290.114197466,0.0336641936488
30000,-194.10499144,258.325388698,0.0336641936488
31000,-196.251085091,322.173561541,0.0336641936488
32000,-160.81363506,302.322878267,0.0336641936488
33000,-142.281958568,279.632720525,0.0336641936488
34000,-152.736104634,280.443202539,0.0336641936488
35000,-190.695060413,280.780337729,0.0336641936488
36000,-192.94911484,311.937217233,0.0336641936488
37000,-169.999880289,303.290582904,0.0336641936488
38000,-174.529545656,224.135737237,0.0336641936488
39000,-156.992270934,286.39406902,0.0336641936488
40000,-177.021223077,333.732204913,0.0336641936488
41000,-186.556655196,346.54739194,0.0336641936488
42000,-162.671968456,265.343435101,0.0336641936488
43000,-149.504704657,228.602918466,0.0336641936488
44000,-202.390610336,273.158261812,0.0336641936488
45000,-193.615461953,245.566493166,0.0336641936488
46000,-168.578004169,407.058214515,0.0336641936488
47000,-195.894148234,347.864858492,0.0336641936488
48000,-178.106538435,338.663917547,0.0336641936488
49000,-166.659329199,213.663548675,0.0336641936488
50000,-187.663978116,289.859031627,0.0336641936488
51000,-171.216375958,348.011658351,0.0336641936488
52000,-198.673010607,321.675685124,0.0336641936488
53000,-170.888383259,201.906321207,0.0336641936488
54000,-157.822749946,320.954416632,0.0336641936488
55000,-199.025813712,250.278684921,0.0336641936488
56000,-179.223025971,311.357507496,0.0336641936488
57000,-162.480789113,282.569657935,0.0336641936488
58000,-135.862030227,259.800864908,0.0336641936488
59000,-183.455791231,293.01447565,0.0336641936488
60000,-152.497663929,347.195338432,0.0336641936488
61000,-183.852265783,253.976297844,0.0336641936488
62000,-170.177966385,266.915692701,0.0336641936488
63000,-162.334149863,335.782829921,0.0336641936488
64000,-184.822578585,237.339157264,0.0336641936488
65000,-174.477872744,241.007016246,0.0336641936488
66000,-141.274415929,265.861397011,0.0336641936488
67000,-146.620877718,279.311944958,0.0336641936488
68000,-163.006220515,342.998036648,0.0336641936488
69000,-171.047304088,223.297498679,0.0336641936488
70000,-198.264219869,268.76609523,0.0336641936488
71000,-175.536528782,287.816979786,0.0336641936488
72000,-196.63273158,293.409770735,0.0336641936488
73000,-183.32401134,330.142008651,0.0336641936488
74000,-185.442649806,255.932963799,0.0336641936488
75000,-143.23842759,240.012500537,0.0336641936488
76000,-208.342537061,180.259299762,0.0336641936488
77000,-208.24172999,300.645728879,0.0336641936488
78000,-163.975543549,246.808442707,0.0336641936488
79000,-197.256584507,400.775840695,0.0336641936488
80000,-175.638202418,284.714477625,0.0336641936488
81000,-168.531250391,262.388024113,0.0336641936488
82000,-172.94294334,266.531103129,0.0336641936488
83000,-190.483433532,254.73397873,0.0336641936488
84000,-180.079002089,299.967075574,0.0336641936488
85000,-154.51186159,324.209193918,0.0336641936488
86000,-169.299666424,289.779395666,0.0336641936488
87000,-136.610229105,216.2058725,0.0336641936488
88000,-200.127674632,284.72245631,0.0336641936488
89000,-158.975922988,217.135742791,0.0336641936488
90000,-169.14488054,270.574537761,0.0336641936488
91000,-168.438752206,256.726485541,0.0336641936488
92000,-206.403871783,327.56995301,0.0336641936488
93000,-183.908179085,304.325645581,0.0336641936488
94000,-180.915105319,303.233541492,0.0336641936488
95000,-144.930202871,287.996858565,0.0336641936488
96000,-189.29933413,255.660861478,0.0336641936488
97000,-159.86159668,268.158379978,0.0336641936488
98000,-165.11416025,228.19061239,0.0336641936488
99000,-131.517846147,273.868811931,0.0336641936488
100000,-163.538864509,275.807864173,0.0336641936488
